bank_id,legal_name,web_address,total_assets_thousands,total_deposits_thousands,net_income_thousands,hq_city,hq_state,total_branches,thalux_asset_tier,extracted_at
10004,Ergo Bank,www.ergobank.com,263059,221684,239,Markesan,Wisconsin,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10011,Woodford State Bank,www.woodfordstatebank.com,509650,393758,1974,Monroe,Wisconsin,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10012,The Portage County Bank,http://www.PORTAGECOUNTYBANK.COM,212581,176573,705,Almond,Wisconsin,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10015,Security Bank,www.securityonlinebank.com,241081,204562,998,New Auburn,Wisconsin,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10044,National Exchange Bank and Trust,https://www.nebat.com,2933056,2317148,12266,Fond Du Lac,Wisconsin,34,Tier 2: Regional Bank,2026-06-26T14:42:54Z
1005,Isabella Bank,www.isabellabank.com,2203614,1890688,5754,Mount Pleasant,Michigan,32,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10055,First Southern Bank,www.fsb-bank.bank,334787,301581,775,Waycross,Georgia,7,Tier 1: Community Bank,2026-06-26T14:42:54Z
10057,Bank of Hancock County,www.bankofhancock.com,84575,70975,77,Sparta,Georgia,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10072,Planters and Citizens Bank,http://www.pcbank.net,145493,123806,130,Camilla,Georgia,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10074,Apex Banking Company of Georgia,www.apexga.bank,73232,66833,96,Cleveland,Georgia,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10075,Peoples State Bank of Colfax,http://www.psbofcolfax.com,47037,41151,161,Colfax,Illinois,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
1008,Bank Michigan,http://www.bankmichigan.bank,159724,133330,176,Brooklyn,Michigan,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10101,The Napoleon State Bank,www.napoleonstatebank.com,507010,448951,1852,Napoleon,Indiana,7,Tier 1: Community Bank,2026-06-26T14:42:54Z
10111,Ohnward Bank & Trust,www.ohnwardbank.bank,489249,408837,1663,Cascade,Iowa,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10118,Leighton State Bank,www.leightonbank.com,293411,248766,1223,Pella,Iowa,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10120,American Trust and Savings Bank,www.atsb-lowden.com,28689,23629,-67,Lowden,Iowa,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10121,Liberty Trust & Savings Bank,www.mylibertytrust.com,182910,147545,708,Durant,Iowa,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10122,Farmers Savings Bank & Trust,http://www.fsb-traer.com,232530,212260,711,Traer,Iowa,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10125,Citizens Savings Bank,www.citizensbankia.com,175037,159377,381,Anamosa,Iowa,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10127,Success Bank,www.success.bank,267113,227009,1197,Bloomfield,Iowa,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10132,Exchange State Bank,www.esb1.com,146440,117570,739,Ames,Iowa,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10137,The Commercial Bank of Grayson,cbgrayson.com,244276,219150,416,Grayson,Kentucky,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
1014,ChoiceOne Bank,WWW.CHOICEONE.BANK,4391138,3671307,14296,Sparta,Michigan,51,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10157,The Shelby State Bank,www.shelbybank.com,391544,346438,780,Shelby,Michigan,10,Tier 1: Community Bank,2026-06-26T14:42:54Z
10159,First State Bank and Trust,https://www.fsbt.com,471002,429334,1906,Bayport,Minnesota,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10160,VersaBank USA National Association,www.versabankusa.com,782851,557388,2223,Holdingford,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10162,First State Bank Minnesota,www.fsbminnesota.com,105200,92226,489,Le Roy,Minnesota,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10163,Security State Bank of Marine,www.themarinebank.com,235431,209683,1359,Marine On St. Croix,Minnesota,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10165,Farmers and Merchants State Bank of Pierz,www.fmpierz.com,330978,307666,1163,Pierz,Minnesota,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10167,Citizens State Bank of Roseau,www.citizensros.com,286018,250263,1055,Roseau,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10168,First Farmers & Merchants Bank,www.ffmbank.com,473457,425996,1416,Cannon Falls,Minnesota,7,Tier 1: Community Bank,2026-06-26T14:42:54Z
10169,Sherburne State Bank,www.sherburnestatebank.com,343385,284754,1673,Becker,Minnesota,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10174,Farmers State Bank of Underwood,www.farmerstbank.com,111995,102506,472,Underwood,Minnesota,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10175,Security State Bank of Hibbing,www.ssbhibbing.com,146163,128731,378,Hibbing,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10178,Produce State Bank,www.producestatebank.com,110591,98183,366,Hollandale,Minnesota,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10185,Elysian Bank,www.elysianbank.net,78786,69365,337,Elysian,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10187,The Northern State Bank of Gonvick,www.nsbgonvick.com,53476,45374,202,Gonvick,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10191,PrinsBank,www.prinsbank.com,296243,255910,1210,Prinsburg,Minnesota,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10194,Pine River State Bank,www.pineriverstatebank.com,183686,168524,409,Pine River,Minnesota,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10197,Hometown Community Bank,www.hcbmn.com,103054,93002,494,Cyrus,Minnesota,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10200,State Bank of Jeffers,statebankofjeffers.com,39845,34228,244,Jeffers,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10202,Lowry State Bank,www.lowrystate.bank,86563,71020,267,Lowry,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10212,Commerce Bank,http://www.cbmn.bank,226753,165500,749,Geneva,Minnesota,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10214,Vermillion State Bank,WWW.VERMILLIONBANK.COM,936640,812727,5889,Vermillion,Minnesota,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10218,Citizens Bank & Trust Co.,http://www.cbhutch.com,310003,266977,925,Hutchinson,Minnesota,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
1022,"Clare Bank, National Association",www.clarebank.com,342755,286713,831,Platteville,Wisconsin,8,Tier 1: Community Bank,2026-06-26T14:42:54Z
10236,The Goose River Bank,www.gooseriverbank.com,179210,153585,446,Mayville,North Dakota,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10243,First State Bank of Golva,fsbofgolva.com,120879,113047,690,Golva,North Dakota,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10248,First International Bank & Trust,www.fibt.com,6047838,5337098,19458,Watford City,North Dakota,28,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10250,Peoples State Bank of Velva,www.psbvelva.com,206073,187530,699,Velva,North Dakota,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10253,First Security Bank - West,www.firstsecuritybanks.com,74118,65763,74,Beulah,North Dakota,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10255,The Old Fort Banking Company,http://www.oldfortbank.com,853794,792466,2905,Old Fort,Ohio,11,Tier 1: Community Bank,2026-06-26T14:42:54Z
10266,The Citizens Bank Company,www.thecitizens.com,329652,285508,1311,Beverly,Ohio,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
1027,Fm Bank And Trust,www.myfm.bank,1303870,1173949,6188,Blytheville,Arkansas,16,Tier 2: Regional Bank,2026-06-26T14:42:54Z
1028,FBT Bank & Mortgage,www.fbtbank.com,250512,210357,927,Fordyce,Arkansas,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10280,The Farmers and Merchants Bank,www.thefarmersmerchants.bank,134933,115052,529,Caldwell,Ohio,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10307,Builtwell Bank,www.builtwell.bank,2302796,2018333,11756,Chattanooga,Tennessee,36,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10308,The Bank of Fayette County,www.thebank1905.com,1121513,969864,2643,Piperton,Tennessee,15,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10315,Bank of Halls,www.bankofhalls.com,134944,123388,332,Halls,Tennessee,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10317,Citizens Bank and Trust Company of Grainger County,www.cbtgrainger.com,274617,244757,807,Rutledge,Tennessee,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10319,Citizens Savings Bank and Trust Company,www.bankcbn.com,185762,159652,189,Nashville,Tennessee,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10327,Citizens State Bank of Luling,www.csbsa.com,63861,51077,78,Luling,Texas,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10330,Commercial State Bank,www.csbpalmer.com,121297,108528,463,Palmer,Texas,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10344,Schertz Bank & Trust,www.schertzbank.com,761914,645958,3918,Schertz,Texas,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10345,Peoples State Bank,www.psbtexas.com,182477,161189,646,Shepherd,Texas,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10352,Crowell State Bank,WWW.CROWELLSTATEBANK.COM,56919,50567,361,Crowell,Texas,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10363,Citizens and Farmers Bank,www.cffc.com,2790564,2410464,7892,West Point,Virginia,32,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10378,The Bank of New Glarus,www.thebankofnewglarus.bank,824180,644021,3516,New Glarus,Wisconsin,8,Tier 1: Community Bank,2026-06-26T14:42:54Z
10380,Oostburg State Bank,www.oostburgstate.bank,429931,380755,1303,Oostburg,Wisconsin,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10382,Farmers & Merchants Bank & Trust,http://www.fmmarinette.com,173633,146621,498,Marinette,Wisconsin,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10383,State Bank Financial,www.statebankfinancial.bank,537110,451824,1425,La Crosse,Wisconsin,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10384,Waumandee State Bank,http://www.waumandeebank.com,350631,303517,931,Waumandee,Wisconsin,8,Tier 1: Community Bank,2026-06-26T14:42:54Z
1040,Midland States Bank,www.midlandsb.com,6539611,5450631,19288,Effingham,Illinois,60,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10407,The Farmers State Bank of Brush,www.fsbbrushakron.com,112280,86992,209,Brush,Colorado,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10434,State Bank of Graymont,www.sbofgray.com,323117,281562,766,Graymont,Illinois,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10437,First State Bank of Olmsted,www.firststatebank-olmsted.com,77512,67589,236,Olmsted,Illinois,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10438,Raritan State Bank,www.raritanstatebank.com,255391,225323,619,Raritan,Illinois,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10446,"Frederick Community Bank, The",www.tfcbanks.com,197597,176592,1074,Paxton,Illinois,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10458,Farmers State Bank & Trust Co.,www.fsb-tc.com,130980,118609,499,Mount Sterling,Illinois,2,Tier 1: Community Bank,2026-06-26T14:42:54Z
10460,Town & Country Bank Midwest,www.tcbankmidwest.com,286643,244360,2340,Quincy,Illinois,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10464,Federated Bank,www.federatedbank.com,134571,113905,551,Onarga,Illinois,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
1047,Bank & Trust Company,www.banktr.com,644563,547503,1817,Litchfield,Illinois,11,Tier 1: Community Bank,2026-06-26T14:42:54Z
10471,Camp Grove State Bank,www.campgrovestatebank.com,53758,38181,-100,Camp Grove,Illinois,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10473,Ipava State Bank,www.ipavastatebank.com,215111,183031,772,Lewistown,Illinois,7,Tier 1: Community Bank,2026-06-26T14:42:54Z
10474,Citizens State Bank,http://www.csbnow.com,449197,397985,1782,Lena,Illinois,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
1049,First National Bank of Steeleville,www.bankatfnb.com,279419,235407,1265,Steeleville,Illinois,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10492,Farmers and Merchants Savings Bank,www.fmbankonline.com,123935,104415,286,Iowa City,Iowa,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10494,Mount Vernon Bank and Trust Company,www.mountvernonbank.com,195567,165378,619,Mount Vernon,Iowa,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10497,Iowa State Bank,https://www.myisb.bank,217843,192391,879,Sac City,Iowa,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
105,Bank of Cave City,www.bankofcavecity.com,189551,167278,359,Cave City,Arkansas,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10500,Farmers Savings Bank,www.fsbwever.com,133585,112891,199,Wever,Iowa,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10503,The First State Bank,http://www.fsbnesscity.com,85820,76177,301,Ness City,Kansas,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10505,The Kansas State Bank,http://www.MyKansasStateBank.com,199910,179228,667,Ottawa,Kansas,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10520,The Citizens Bank,www.tcbanytime.com,227919,179281,1257,Morehead,Kentucky,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10523,Bank of Commerce & Trust Co.,https://www.bankofcommerceandtrust.com,374604,329825,229,Crowley,Louisiana,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10528,"Exchange Bank and Trust Company, Natchitoches, Louisiana",www.exchange-bank.com,221046,200494,1179,Natchitoches,Louisiana,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
10531,Citizens Progressive Bank,cpbonline.com,250034,217116,350,Winnsboro,Louisiana,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10532,CLB The Community Bank,www.clbbank.com,343895,307285,1199,Jonesville,Louisiana,7,Tier 1: Community Bank,2026-06-26T14:42:54Z
10533,Winnsboro State Bank & Trust Company,WWW.WINNSBOROBANK.COM,412536,363526,1404,Winnsboro,Louisiana,5,Tier 1: Community Bank,2026-06-26T14:42:54Z
10561,Arcadian Bank,www.arcadian.bank,241415,204179,1143,Hartland,Minnesota,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
10567,United Minnesota Bank,www.umbnl.com,53601,49356,213,New London,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10571,Farmers and Merchants State Bank of Alpha,famstatebankofalpha.com,48306,42156,64,Alpha,Minnesota,1,Tier 1: Community Bank,2026-06-26T14:42:54Z
10576,First Southeast Bank,http://www.firstsoutheastbank.com,153702,111631,585,Harmony,Minnesota,3,Tier 1: Community Bank,2026-06-26T14:42:54Z
1058,Midwest BankCentre,www.midwestbankcentre.com,3034068,2521420,9961,Lemay,Missouri,18,Tier 2: Regional Bank,2026-06-26T14:42:54Z
10594,Bank of Franklin,www.bankoffranklin.com,303255,269681,551,Meadville,Mississippi,6,Tier 1: Community Bank,2026-06-26T14:42:54Z
10595,Community First Bank,www.communityfirstbank.net,258908,235398,1675,Butler,Missouri,4,Tier 1: Community Bank,2026-06-26T14:42:54Z
